Gene name	Gene stable ID	Gene type
ugt5c3	ENSDARG00000061439	protein_coding
traj6	ENSDARG00000102553	TR_J_gene
si:ch211-271d10.2	ENSDARG00000104269	protein_coding
sgms2a	ENSDARG00000052520	protein_coding
hapln4	ENSDARG00000018542	protein_coding
olig3	ENSDARG00000074253	protein_coding
abhd15a	ENSDARG00000078768	protein_coding
zgc:171695	ENSDARG00000100858	protein_coding
tafa1a	ENSDARG00000062357	protein_coding
ankef1a	ENSDARG00000019135	protein_coding
crfb4	ENSDARG00000068711	protein_coding
vmo1a	ENSDARG00000043002	protein_coding
lsm11	ENSDARG00000090854	protein_coding
cdk5	ENSDARG00000056683	protein_coding
CU467043.1	ENSDARG00000098676	antisense
zgc:113057	ENSDARG00000012446	protein_coding
lonrf1l	ENSDARG00000078567	protein_coding
prf1.2	ENSDARG00000021444	protein_coding
hoxb3a	ENSDARG00000029263	protein_coding
slc16a5a	ENSDARG00000030472	protein_coding
gpr176	ENSDARG00000042515	protein_coding
fhl2a	ENSDARG00000042018	protein_coding
golph3l	ENSDARG00000036943	protein_coding
iqch	ENSDARG00000015476	protein_coding
si:ch211-189e2.3	ENSDARG00000089954	protein_coding
shpk	ENSDARG00000002355	protein_coding
si:dkey-238c7.16	ENSDARG00000069537	protein_coding
gfi1ab	ENSDARG00000044457	protein_coding
pdyn	ENSDARG00000087798	protein_coding
si:ch73-109d9.3	ENSDARG00000101106	protein_coding
b3gnt3.3	ENSDARG00000093521	protein_coding
agtr1b	ENSDARG00000045443	protein_coding
trim35-7	ENSDARG00000058958	protein_coding
tfdp1a	ENSDARG00000019293	protein_coding
CR293531.1	ENSDARG00000094455	lincRNA
BX927395.1	ENSDARG00000097849	lincRNA
si:dkeyp-100h4.1	ENSDARG00000078167	protein_coding
si:dkey-1b17.9	ENSDARG00000115890	protein_coding
ss18l2	ENSDARG00000101085	protein_coding
use1	ENSDARG00000007250	protein_coding
si:ch211-223g7.6	ENSDARG00000113690	protein_coding
fes	ENSDARG00000011449	protein_coding
zgc:123103	ENSDARG00000099200	protein_coding
si:ch211-132g1.1	ENSDARG00000040250	protein_coding
idh3b	ENSDARG00000044753	protein_coding
irf4a	ENSDARG00000006560	protein_coding
BX511142.1	ENSDARG00000099086	antisense
gpr183b	ENSDARG00000074302	protein_coding
cdh18a	ENSDARG00000061371	protein_coding
mtg2	ENSDARG00000063574	protein_coding
pkig	ENSDARG00000086471	protein_coding
mief2	ENSDARG00000002377	protein_coding
boka	ENSDARG00000052129	protein_coding
si:ch211-129o18.4	ENSDARG00000098029	protein_coding
CU929145.2	ENSDARG00000097268	lincRNA
SRCIN1	ENSDARG00000059773	protein_coding
si:rp71-17i16.6	ENSDARG00000095453	protein_coding
FP016235.1	ENSDARG00000097673	lincRNA
tmeff1b	ENSDARG00000056740	protein_coding
tap2t	ENSDARG00000033446	protein_coding
si:dkeyp-51g9.4	ENSDARG00000099899	protein_coding
alkbh6	ENSDARG00000077253	protein_coding
AL807792.1	ENSDARG00000096836	lincRNA
si:ch211-64i20.3	ENSDARG00000105063	protein_coding
tnnt2b	ENSDARG00000100694	protein_coding
setbp1	ENSDARG00000093799	protein_coding
BX294113.1	ENSDARG00000092995	processed_transcript
golph3	ENSDARG00000052851	protein_coding
dusp23a	ENSDARG00000009844	protein_coding
henmt1	ENSDARG00000018871	protein_coding
zgc:109986	ENSDARG00000102608	protein_coding
prkag1	ENSDARG00000003818	protein_coding
haus5	ENSDARG00000019156	protein_coding
pip4p1a	ENSDARG00000038615	protein_coding
tars3	ENSDARG00000092774	protein_coding
BX649639.1	ENSDARG00000092082	processed_transcript
ecscr	ENSDARG00000087457	protein_coding
med6	ENSDARG00000034734	protein_coding
si:ch211-247j9.1	ENSDARG00000079283	protein_coding
ak9	ENSDARG00000021913	protein_coding
gab2	ENSDARG00000105120	protein_coding
CR792416.1	ENSDARG00000098157	processed_transcript
C18H19orf12	ENSDARG00000102929	protein_coding
nav2a	ENSDARG00000073688	protein_coding
CU467880.1	ENSDARG00000103180	antisense
si:dkey-18a10.3	ENSDARG00000090814	protein_coding
ube2l3b	ENSDARG00000027141	protein_coding
si:dkey-13m1.2	ENSDARG00000102434	protein_coding
CU929143.1	ENSDARG00000099967	lincRNA
CR352226.3	ENSDARG00000095872	processed_transcript
acvr1bb	ENSDARG00000052142	protein_coding
si:ch211-209l18.2	ENSDARG00000093111	protein_coding
si:dkey-189g17.2	ENSDARG00000069758	protein_coding
gpr101	ENSDARG00000039218	protein_coding
chchd10	ENSDARG00000010717	protein_coding
yipf3	ENSDARG00000020449	protein_coding
klf17	ENSDARG00000038792	protein_coding
AL935117.1	ENSDARG00000095204	processed_transcript
sinup	ENSDARG00000017163	protein_coding
gfra2b	ENSDARG00000044015	protein_coding
acp5b	ENSDARG00000101456	protein_coding
arap3	ENSDARG00000076801	protein_coding
chchd6a	ENSDARG00000003206	protein_coding
BX323797.2	ENSDARG00000105543	lincRNA
arl8a	ENSDARG00000078686	protein_coding
brf1a	ENSDARG00000017835	protein_coding
itgb7	ENSDARG00000044318	protein_coding
dgkzb	ENSDARG00000076025	protein_coding
rtraf	ENSDARG00000009253	protein_coding
acmsd	ENSDARG00000062549	protein_coding
cdkn2a/b	ENSDARG00000037262	protein_coding
adgre10	ENSDARG00000075855	protein_coding
atoh8	ENSDARG00000037555	protein_coding
pdcd7	ENSDARG00000038976	protein_coding
qrfpra	ENSDARG00000039349	protein_coding
mhc1zba	ENSDARG00000036588	protein_coding
pcdh15a	ENSDARG00000098257	protein_coding
hnrnpa3	ENSDARG00000059351	protein_coding
CU041319.3	ENSDARG00000105553	antisense
itga8	ENSDARG00000078717	protein_coding
cdk5rap2	ENSDARG00000024219	protein_coding
slc15a4	ENSDARG00000102612	protein_coding
dok2	ENSDARG00000075818	protein_coding
cacng7a	ENSDARG00000063006	protein_coding
si:dkey-27l15.1	ENSDARG00000097115	protein_coding
p2ry8	ENSDARG00000055560	protein_coding
CABZ01015815.1	ENSDARG00000099099	lincRNA
slc24a5	ENSDARG00000024771	protein_coding
fsta	ENSDARG00000052846	protein_coding
SRBD1	ENSDARG00000092855	protein_coding
ms4a17a.4	ENSDARG00000014024	protein_coding
abhd14b	ENSDARG00000100531	protein_coding
si:ch73-299h12.6	ENSDARG00000101319	protein_coding
slc22a15	ENSDARG00000055445	protein_coding
si:dkey-26g8.5	ENSDARG00000089750	protein_coding
adgrb1b	ENSDARG00000078529	protein_coding
BX649490.2	ENSDARG00000094550	processed_transcript
tor4ab	ENSDARG00000091169	protein_coding
ciao2b	ENSDARG00000052010	protein_coding
sh3bgrl3	ENSDARG00000098075	protein_coding
si:rp71-23d18.8	ENSDARG00000093164	protein_coding
BX548078.1	ENSDARG00000093780	unprocessed_pseudogene
si:ch211-214c7.4	ENSDARG00000069595	protein_coding
si:dkey-27b3.4	ENSDARG00000093621	protein_coding
itgb3b	ENSDARG00000045070	protein_coding
steap4	ENSDARG00000055901	protein_coding
ccl34b.1	ENSDARG00000093608	protein_coding
plg	ENSDARG00000023111	protein_coding
rpl5a	ENSDARG00000020197	protein_coding
deptor	ENSDARG00000040930	protein_coding
gnb5a	ENSDARG00000099685	protein_coding
nfatc3b	ENSDARG00000051729	protein_coding
si:ch211-59d8.3	ENSDARG00000098514	protein_coding
adamts9	ENSDARG00000077778	protein_coding
si:dkey-222b8.4	ENSDARG00000057227	protein_coding
BX294129.1	ENSDARG00000092014	lincRNA
b3gntl1	ENSDARG00000043431	protein_coding
phyhd1	ENSDARG00000029905	protein_coding
agtrap	ENSDARG00000077082	protein_coding
zzz3	ENSDARG00000077581	protein_coding
parp16	ENSDARG00000018593	protein_coding
nlgn4xa	ENSDARG00000079455	protein_coding
zgc:113298	ENSDARG00000071648	protein_coding
CR318646.3	ENSDARG00000095337	unprocessed_pseudogene
si:dkey-79d12.6	ENSDARG00000097225	protein_coding
sparcl2	ENSDARG00000097063	protein_coding
zgc:113984	ENSDARG00000094616	protein_coding
zgc:153911	ENSDARG00000002509	protein_coding
pudp	ENSDARG00000027826	protein_coding
igsf9b	ENSDARG00000010408	protein_coding
mxd4	ENSDARG00000054031	protein_coding
tyw1	ENSDARG00000062987	protein_coding
ambp	ENSDARG00000004296	protein_coding
arpp19b	ENSDARG00000039880	protein_coding
rps28	ENSDARG00000035860	protein_coding
chka	ENSDARG00000041078	protein_coding
rps27.1	ENSDARG00000023298	protein_coding
cdh28	ENSDARG00000104332	protein_coding
tacr3a	ENSDARG00000075112	protein_coding
si:dkey-103j14.5	ENSDARG00000002219	protein_coding
si:zfos-128g4.2	ENSDARG00000098889	protein_coding
mrpl42	ENSDARG00000079391	protein_coding
ctslb	ENSDARG00000074306	protein_coding
BX511259.1	ENSDARG00000093010	processed_transcript
adgre15	ENSDARG00000096588	protein_coding
BX957276.1	ENSDARG00000105603	processed_transcript
BX294113.2	ENSDARG00000093645	processed_transcript
ebag9	ENSDARG00000040021	protein_coding
f13a1b	ENSDARG00000036893	protein_coding
colec11	ENSDARG00000013266	protein_coding
si:dkey-256e7.5	ENSDARG00000042937	protein_coding
si:dkeyp-67e1.2	ENSDARG00000111173	protein_coding
si:dkey-163f12.6	ENSDARG00000094473	protein_coding
hsd11b1la	ENSDARG00000071377	protein_coding
grm6b	ENSDARG00000025671	protein_coding
CR954294.1	ENSDARG00000092630	processed_transcript
thy1	ENSDARG00000035018	protein_coding
ctslb	ENSDARG00000039173	protein_coding
arid5b	ENSDARG00000037196	protein_coding
mybl2b	ENSDARG00000032264	protein_coding
ccsapa	ENSDARG00000025325	protein_coding
CU633855.1	ENSDARG00000097542	lincRNA
btr06	ENSDARG00000054184	protein_coding
ahcyl1	ENSDARG00000056331	protein_coding
mif4gda	ENSDARG00000102080	protein_coding
cldna	ENSDARG00000069888	protein_coding
drd4a	ENSDARG00000038363	protein_coding
atp1a2a	ENSDARG00000010472	protein_coding
ccr10	ENSDARG00000040643	protein_coding
arhgap21b	ENSDARG00000075673	protein_coding
apmap	ENSDARG00000017422	protein_coding
CT027631.1	ENSDARG00000095804	antisense
CR376737.1	ENSDARG00000077318	processed_pseudogene
si:ch211-256a21.4	ENSDARG00000097032	protein_coding
si:dkey-242h9.5	ENSDARG00000092535	protein_coding
BX510992.2	ENSDARG00000096638	sense_intronic
pvrl2l	ENSDARG00000063390	protein_coding
hephl1b	ENSDARG00000026403	protein_coding
iffo1b	ENSDARG00000062108	protein_coding
si:dkey-65b12.6	ENSDARG00000076830	protein_coding
grb7	ENSDARG00000042726	protein_coding
stx10	ENSDARG00000075030	protein_coding
ext1a	ENSDARG00000103155	protein_coding
sema3aa	ENSDARG00000019235	protein_coding
mbd2	ENSDARG00000075952	protein_coding
nubp1	ENSDARG00000055472	protein_coding
doc2b	ENSDARG00000088293	protein_coding
tmc8	ENSDARG00000101050	protein_coding
BX469902.2	ENSDARG00000097953	lincRNA
opn7c	ENSDARG00000030867	protein_coding
rprma	ENSDARG00000053383	protein_coding
ankk1	ENSDARG00000056921	protein_coding
trmt1l	ENSDARG00000042057	protein_coding
CU457819.5	ENSDARG00000105459	protein_coding
hist1h2a11	ENSDARG00000100906	protein_coding
lyplal1	ENSDARG00000088764	protein_coding
rbm48	ENSDARG00000033754	protein_coding
igbp1	ENSDARG00000002184	protein_coding
si:dkey-78l4.10	ENSDARG00000093450	protein_coding
gsk3ab	ENSDARG00000015681	protein_coding
AL954134.1	ENSDARG00000092078	processed_transcript
FP325123.1	ENSDARG00000105359	protein_coding
gpr158b	ENSDARG00000079665	protein_coding
pdcd4a	ENSDARG00000021702	protein_coding
BX004812.1	ENSDARG00000096968	lincRNA
dazap1	ENSDARG00000070846	protein_coding
trpc4a	ENSDARG00000070507	protein_coding
zc3h11a	ENSDARG00000009754	protein_coding
si:ch211-255p10.4	ENSDARG00000077124	protein_coding
BX649345.2	ENSDARG00000101124	processed_transcript
olfce1	ENSDARG00000067828	protein_coding
nf1b	ENSDARG00000004184	protein_coding
dcaf12	ENSDARG00000063155	protein_coding
si:ch73-94k4.4	ENSDARG00000096606	protein_coding
map4k6	ENSDARG00000033444	protein_coding
znf1021	ENSDARG00000088861	protein_coding
atp8b4	ENSDARG00000079453	protein_coding
rnf169	ENSDARG00000042825	protein_coding
BX323994.2	ENSDARG00000100423	processed_transcript
aimp1a	ENSDARG00000060036	protein_coding
creb3l3l	ENSDARG00000020926	protein_coding
si:dkeyp-97a10.3	ENSDARG00000104656	protein_coding
CR388209.2	ENSDARG00000091901	lincRNA
cd82a	ENSDARG00000019098	protein_coding
fbxo15	ENSDARG00000016897	protein_coding
psmb7	ENSDARG00000037962	protein_coding
BX005392.2	ENSDARG00000096996	lincRNA
col8a1b	ENSDARG00000003533	protein_coding
dnmt3ab	ENSDARG00000015566	protein_coding
hist1h4l	ENSDARG00000115281	protein_coding
zgc:194989	ENSDARG00000114405	protein_coding
sla2	ENSDARG00000020788	protein_coding
asic1c	ENSDARG00000098428	protein_coding
CU929339.2	ENSDARG00000097460	lincRNA
matn3a	ENSDARG00000069245	protein_coding
lrrc4ba	ENSDARG00000004597	protein_coding
atg3	ENSDARG00000009350	protein_coding
sh3glb1b	ENSDARG00000010956	protein_coding
si:dkeyp-85h7.1	ENSDARG00000098260	protein_coding
si:ch73-379j16.2	ENSDARG00000099535	protein_coding
si:ch211-113d22.2	ENSDARG00000100139	protein_coding
pagr1	ENSDARG00000076966	protein_coding
eif4h	ENSDARG00000042252	protein_coding
skia	ENSDARG00000042151	protein_coding
zfand5a	ENSDARG00000018898	protein_coding
zgc:112496	ENSDARG00000004274	protein_coding
mdh1b	ENSDARG00000018008	protein_coding
si:ch73-389b16.2	ENSDARG00000103802	protein_coding
znf507	ENSDARG00000052164	protein_coding
josd1	ENSDARG00000071548	protein_coding
zgc:162025	ENSDARG00000046141	protein_coding
cd81a	ENSDARG00000036080	protein_coding
rnf141	ENSDARG00000041802	protein_coding
BX296562.2	ENSDARG00000096747	antisense
mydgf	ENSDARG00000071679	protein_coding
pkp3b	ENSDARG00000079438	protein_coding
tnfaip8l1	ENSDARG00000086457	protein_coding
march5	ENSDARG00000032552	protein_coding
CR628365.1	ENSDARG00000097736	antisense
pcdh20	ENSDARG00000101910	protein_coding
ihhb	ENSDARG00000058815	protein_coding
bmi1b	ENSDARG00000013076	protein_coding
ccdc90b	ENSDARG00000044626	protein_coding
rpl5b	ENSDARG00000015862	protein_coding
BX649337.1	ENSDARG00000096017	transcribed_unprocessed_pseudogene
g3bp2	ENSDARG00000014790	protein_coding
timm23a	ENSDARG00000071396	protein_coding
nyx	ENSDARG00000061791	protein_coding
zgc:153631	ENSDARG00000068993	protein_coding
rpap1	ENSDARG00000075072	protein_coding
CT573316.3	ENSDARG00000097687	antisense
nutf2	ENSDARG00000056531	protein_coding
ift46	ENSDARG00000011240	protein_coding
nat15	ENSDARG00000061185	protein_coding
si:ch211-227e10.6	ENSDARG00000095132	protein_coding
prune2	ENSDARG00000059423	protein_coding
tap2a	ENSDARG00000036787	protein_coding
si:ch211-162k9.6	ENSDARG00000079221	protein_coding
cebpz	ENSDARG00000045857	protein_coding
BX537274.1	ENSDARG00000094301	antisense
BX681417.14	ENSDARG00000114873	TR_J_gene
traj59	ENSDARG00000103707	TR_J_gene
AL928908.1	ENSDARG00000097437	antisense
yars2	ENSDARG00000077299	protein_coding
BX681417.18	ENSDARG00000115333	TR_J_gene
BX681417.20	ENSDARG00000115584	TR_J_gene
ndufaf7	ENSDARG00000033134	protein_coding
btk	ENSDARG00000004433	protein_coding
itpkca	ENSDARG00000002994	protein_coding
ddx59	ENSDARG00000022177	protein_coding
ponzr6	ENSDARG00000036382	protein_coding
tmc2b	ENSDARG00000030311	protein_coding
chrna5	ENSDARG00000003420	protein_coding
timm17b	ENSDARG00000060124	protein_coding
yeats4	ENSDARG00000045874	protein_coding
tsc22d3	ENSDARG00000075666	protein_coding
fmoda	ENSDARG00000044895	protein_coding
gypc	ENSDARG00000041546	protein_coding
zcrb1	ENSDARG00000045691	protein_coding
pcdh11	ENSDARG00000098652	protein_coding
znf1182	ENSDARG00000100468	protein_coding
si:dkey-279j5.1	ENSDARG00000101459	protein_coding
utp4	ENSDARG00000017675	protein_coding
si:ch211-198e20.10	ENSDARG00000089513	protein_coding
ost4	ENSDARG00000096118	protein_coding
mfrp	ENSDARG00000087814	protein_coding
arsg	ENSDARG00000101715	protein_coding
si:ch211-163g19.2	ENSDARG00000095555	protein_coding
tbcc	ENSDARG00000022918	protein_coding
BX936305.1	ENSDARG00000094135	lincRNA
dalrd3	ENSDARG00000068602	protein_coding
adipor1a	ENSDARG00000002912	protein_coding
si:ch73-281i18.7	ENSDARG00000103395	protein_coding
arhgef38	ENSDARG00000079377	protein_coding
ncoa5	ENSDARG00000016345	protein_coding
hunk	ENSDARG00000091317	protein_coding
hspa12a.2	ENSDARG00000096726	protein_coding
trim35-20	ENSDARG00000070847	protein_coding
si:dkey-263j23.1	ENSDARG00000096678	protein_coding
arhgdig	ENSDARG00000004034	protein_coding
tnni1a	ENSDARG00000000474	protein_coding
cnot6l	ENSDARG00000054597	protein_coding
CR751227.2	ENSDARG00000097891	antisense
ddr2b	ENSDARG00000058695	protein_coding
CU856516.1	ENSDARG00000099189	lincRNA
spint1b	ENSDARG00000012467	protein_coding
cd4-2.2	ENSDARG00000073950	protein_coding
sftpbb	ENSDARG00000067566	protein_coding
tbl1xr1a	ENSDARG00000058696	protein_coding
kcnk6	ENSDARG00000007383	protein_coding
CU595864.1	ENSDARG00000095291	processed_transcript
psd2	ENSDARG00000063036	protein_coding
proca	ENSDARG00000093079	protein_coding
smarcd1	ENSDARG00000019004	protein_coding
si:dkeyp-72g9.4	ENSDARG00000073704	protein_coding
nts	ENSDARG00000057887	protein_coding
pi15a	ENSDARG00000045378	protein_coding
BX000985.1	ENSDARG00000099469	lincRNA
ptbp3	ENSDARG00000043757	protein_coding
AL845550.2	ENSDARG00000097342	lincRNA
prkag3a	ENSDARG00000017537	protein_coding
pimr134	ENSDARG00000094146	protein_coding
itgb5	ENSDARG00000012942	protein_coding
cyp1b1	ENSDARG00000068934	protein_coding
si:dkey-23n7.10	ENSDARG00000104129	protein_coding
sgca	ENSDARG00000074156	protein_coding
si:ch73-109d9.1	ENSDARG00000052019	protein_coding
BX681417.2	ENSDARG00000101668	processed_transcript
terb1	ENSDARG00000058587	protein_coding
rgs5b	ENSDARG00000017860	protein_coding
znfl1b	ENSDARG00000075996	protein_coding
kctd8	ENSDARG00000067507	protein_coding
ttpal	ENSDARG00000070644	protein_coding
aldh16a1	ENSDARG00000037935	protein_coding
BX950855.1	ENSDARG00000103815	lincRNA
CR354547.1	ENSDARG00000093180	processed_transcript
BDKRB2	ENSDARG00000043664	protein_coding
rtcb	ENSDARG00000101047	protein_coding
ptprfb	ENSDARG00000005754	protein_coding
AL929057.1	ENSDARG00000103165	processed_transcript
fam78aa	ENSDARG00000101217	protein_coding
stoml1	ENSDARG00000062142	protein_coding
rubcnl	ENSDARG00000088402	protein_coding
il15	ENSDARG00000052361	protein_coding
nmnat2	ENSDARG00000004580	protein_coding
si:dkey-22i16.10	ENSDARG00000078558	protein_coding
F2R	ENSDARG00000087469	protein_coding
kpna2	ENSDARG00000038066	protein_coding
prkag2b	ENSDARG00000001933	protein_coding
fmnl1a	ENSDARG00000055713	protein_coding
crot	ENSDARG00000040352	protein_coding
glsb	ENSDARG00000040705	protein_coding
afp4	ENSDARG00000095863	protein_coding
itgbl1	ENSDARG00000040985	protein_coding
tnnt2a	ENSDARG00000020610	protein_coding
lrriq1	ENSDARG00000093781	protein_coding
si:dkey-220k22.1	ENSDARG00000035471	protein_coding
pimr104	ENSDARG00000116254	protein_coding
birc6	ENSDARG00000074166	protein_coding
si:dkey-177p2.18	ENSDARG00000091633	protein_coding
eppk1	ENSDARG00000096359	protein_coding
fam102bb	ENSDARG00000002333	protein_coding
cacng8b	ENSDARG00000070626	protein_coding
si:dkey-208m12.2	ENSDARG00000071143	protein_coding
smpd2b	ENSDARG00000052701	protein_coding
hcfc2	ENSDARG00000058127	protein_coding
selenok	ENSDARG00000100823	protein_coding
kcnc3a	ENSDARG00000055855	protein_coding
FO704741.1	ENSDARG00000105665	lincRNA
nefmb	ENSDARG00000043697	protein_coding
elfn2a	ENSDARG00000077609	protein_coding
ccn4a	ENSDARG00000054331	protein_coding
ccdc24	ENSDARG00000038793	protein_coding
ccny	ENSDARG00000063677	protein_coding
ntn2	ENSDARG00000076748	protein_coding
csmd2	ENSDARG00000001559	protein_coding
lft2	ENSDARG00000044059	protein_coding
ugp2b	ENSDARG00000008200	protein_coding
pnocb	ENSDARG00000024189	protein_coding
epd	ENSDARG00000103498	protein_coding
C5H2orf68	ENSDARG00000059459	protein_coding
si:ch211-63o20.7	ENSDARG00000042000	protein_coding
mtmr10	ENSDARG00000010601	protein_coding
myo15ab	ENSDARG00000078474	protein_coding
dnmt3bb.3	ENSDARG00000057863	protein_coding
BX511250.1	ENSDARG00000095894	processed_transcript
dmtn	ENSDARG00000013110	protein_coding
FP245462.1	ENSDARG00000097001	processed_transcript
thrap3b	ENSDARG00000098228	protein_coding
CU467633.1	ENSDARG00000059196	processed_transcript
cul3a	ENSDARG00000038967	protein_coding
diras1b	ENSDARG00000009372	protein_coding
calm1a	ENSDARG00000021811	protein_coding
cnep1r1	ENSDARG00000036064	protein_coding
RIN2	ENSDARG00000077040	protein_coding
rrp7a	ENSDARG00000098934	protein_coding
CR352226.2	ENSDARG00000095851	processed_transcript
pimr101	ENSDARG00000110915	protein_coding
tsr2	ENSDARG00000005772	protein_coding
dhcr7	ENSDARG00000103226	protein_coding
magi2a	ENSDARG00000021590	protein_coding
cyp2k8	ENSDARG00000101190	protein_coding
lamb2l	ENSDARG00000033950	protein_coding
CU571091.1	ENSDARG00000097644	antisense
zc3h12a	ENSDARG00000005271	protein_coding
si:ch211-125e6.13	ENSDARG00000094370	protein_coding
ccr11.1	ENSDARG00000070755	protein_coding
mc3r	ENSDARG00000021369	protein_coding
BX649421.1	ENSDARG00000100590	unprocessed_pseudogene
dffb	ENSDARG00000009748	protein_coding
nrp2a	ENSDARG00000096546	protein_coding
pimr71	ENSDARG00000044264	protein_coding
rhd	ENSDARG00000002194	protein_coding
oscp1a	ENSDARG00000101222	protein_coding
zgc:172120	ENSDARG00000069199	protein_coding
cdc42l2	ENSDARG00000057869	protein_coding
zgc:175136	ENSDARG00000103024	protein_coding
ints3	ENSDARG00000016811	protein_coding
atp6v1h	ENSDARG00000006370	protein_coding
slc16a12b	ENSDARG00000089885	protein_coding
zmp:0000000729	ENSDARG00000068221	protein_coding
sh3kbp1	ENSDARG00000075853	protein_coding
