Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0006906	GO:0048284	organelle fusion	3.343e-03	5.000e+00	4.034e+00	9.239e-05
GO:0006996	GO:0006996	organelle organization	1.923e-03	6.000e+00	1.914e+00	1.219e-02
GO:0006996	GO:0051276	chromosome organization	4.998e-03	5.000e+00	2.111e+00	7.747e-03
GO:0006996	GO:0007062	sister chromatid cohesion	6.034e-03	3.000e+00	3.643e+00	2.274e-04
GO:0006996	GO:0051225	spindle assembly	3.986e-03	4.000e+00	4.195e+00	6.385e-05
GO:0006996	GO:0071840	cellular component organization or biogenesis	1.255e-03	6.000e+00	1.435e+00	3.671e-02
GO:0006996	GO:0042254	ribosome biogenesis	5.151e-03	3.000e+00	2.662e+00	2.178e-03
GO:0006996	GO:0043044	ATP-dependent chromatin remodeling	4.932e-03	4.000e+00	4.078e+00	8.353e-05
GO:0006996	GO:0006325	chromatin organization	2.602e-03	6.000e+00	2.691e+00	2.038e-03
GO:0006996	GO:0061025	membrane fusion	5.146e-03	4.000e+00	2.370e+00	4.270e-03
GO:0006996	GO:0071826	ribonucleoprotein complex subunit organization	6.069e-03	4.000e+00	2.725e+00	1.883e-03
GO:0007601	GO:0007601	visual perception	4.695e-03	3.000e+00	3.633e+00	2.329e-04
GO:0007601	GO:0050877	nervous system process	2.909e-03	3.000e+00	3.052e+00	8.871e-04
GO:0008104	GO:0008104	protein localization	3.641e-03	4.000e+00	1.779e+00	1.665e-02
GO:0008104	GO:0033036	macromolecule localization	2.927e-03	3.000e+00	1.778e+00	1.667e-02
GO:0015031	GO:0015031	protein transport	3.303e-03	3.000e+00	1.802e+00	1.578e-02
GO:0015031	GO:0045184	establishment of protein localization	3.505e-03	6.000e+00	1.791e+00	1.619e-02
GO:0015833	GO:0015833	peptide transport	2.074e-03	6.000e+00	1.767e+00	1.711e-02
GO:0015833	GO:0042886	amide transport	4.548e-03	3.000e+00	1.763e+00	1.727e-02
GO:0015833	GO:0071705	nitrogen compound transport	3.812e-03	4.000e+00	1.575e+00	2.661e-02
GO:0019941	GO:0006511	ubiquitin-dependent protein catabolic process	2.433e-03	4.000e+00	2.961e+00	1.094e-03
GO:0019941	GO:0019941	modification-dependent protein catabolic process	6.601e-04	4.000e+00	2.919e+00	1.205e-03
GO:0019941	GO:0043632	modification-dependent macromolecule catabolic process	1.713e-03	5.000e+00	2.909e+00	1.234e-03
GO:0019941	GO:0051603	proteolysis involved in cellular protein catabolic process	3.771e-03	5.000e+00	2.736e+00	1.838e-03
GO:0042147	GO:0016197	endosomal transport	2.680e-03	6.000e+00	3.609e+00	2.459e-04
GO:0042147	GO:0042147	retrograde transport, endosome to Golgi	3.978e-03	5.000e+00	3.965e+00	1.083e-04
GO:0042147	GO:0016482	cytosolic transport	5.899e-03	3.000e+00	3.842e+00	1.438e-04
GO:0042147	GO:0032511	late endosome to vacuole transport via multivesicular body sorting pathway	5.472e-03	3.000e+00	4.636e+00	2.310e-05
GO:0042147	GO:0007034	vacuolar transport	5.363e-03	5.000e+00	3.638e+00	2.302e-04
GO:0042147	GO:0071985	multivesicular body sorting pathway	3.451e-03	3.000e+00	4.068e+00	8.548e-05
GO:0044248	GO:0044248	cellular catabolic process	2.509e-03	3.000e+00	1.790e+00	1.621e-02
GO:0044248	GO:1901565	organonitrogen compound catabolic process	3.030e-03	4.000e+00	2.044e+00	9.041e-03
GO:0044257	GO:0044257	cellular protein catabolic process	2.111e-03	4.000e+00	4.883e+00	1.311e-05
GO:0044257	GO:0036503	ERAD pathway	3.518e-03	3.000e+00	4.145e+00	7.160e-05
GO:0044257	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	2.162e-03	7.000e+00	3.370e+00	4.267e-04
GO:0044257	GO:0010498	proteasomal protein catabolic process	3.891e-03	3.000e+00	3.224e+00	5.977e-04
GO:0044257	GO:0030163	protein catabolic process	3.398e-03	4.000e+00	2.831e+00	1.475e-03
GO:0044257	GO:0009057	macromolecule catabolic process	3.238e-03	4.000e+00	2.134e+00	7.342e-03
GO:0051649	GO:0051649	establishment of localization in cell	1.129e-03	8.000e+00	2.226e+00	5.938e-03
GO:0051649	GO:0006886	intracellular protein transport	4.068e-03	6.000e+00	2.335e+00	4.620e-03
GO:0051649	GO:0046907	intracellular transport	2.711e-03	5.000e+00	2.246e+00	5.677e-03
GO:0051649	GO:0051641	cellular localization	3.397e-03	3.000e+00	2.168e+00	6.796e-03
GO:0070534	GO:0070534	protein K63-linked ubiquitination	4.153e-03	3.000e+00	4.907e+00	1.238e-05
GO:0070534	GO:0016567	protein ubiquitination	4.632e-03	3.000e+00	2.773e+00	1.688e-03
GO:0070534	GO:0032446	protein modification by small protein conjugation	4.973e-03	4.000e+00	2.722e+00	1.897e-03
GO:0070534	GO:0070647	protein modification by small protein conjugation or removal	2.078e-03	5.000e+00	2.608e+00	2.465e-03
GO:0070534	GO:0043412	macromolecule modification	1.555e-03	1.100e+01	1.330e+00	4.672e-02
GO:0070534	GO:0006464	cellular protein modification process	3.354e-03	1.000e+01	1.488e+00	3.249e-02
GO:0070534	GO:0018205	peptidyl-lysine modification	5.142e-03	4.000e+00	2.927e+00	1.184e-03
GO:0072657	GO:0070727	cellular macromolecule localization	1.144e-03	7.000e+00	2.711e+00	1.944e-03
GO:0072657	GO:0072657	protein localization to membrane	1.842e-03	3.000e+00	2.863e+00	1.369e-03
GO:0072657	GO:0034613	cellular protein localization	4.498e-03	6.000e+00	2.714e+00	1.931e-03
GO:0072657	GO:0090150	establishment of protein localization to membrane	5.999e-03	3.000e+00	2.927e+00	1.183e-03
GO:0072657	GO:0140056	organelle localization by membrane tethering	6.300e-03	4.000e+00	3.814e+00	1.535e-04
GO:0072657	GO:0051640	organelle localization	3.307e-03	3.000e+00	3.371e+00	4.259e-04
GO:2000144	GO:0045899	positive regulation of RNA polymerase II transcription preinitiation complex assembly	3.000e-03	4.000e+00	5.014e+00	9.681e-06
GO:2000144	GO:2000144	positive regulation of DNA-templated transcription, initiation	1.436e-03	3.000e+00	4.762e+00	1.728e-05
GO:2000144	GO:0045944	positive regulation of transcription by RNA polymerase II	5.935e-03	3.000e+00	3.211e+00	6.147e-04
GO:2000144	GO:0060260	regulation of transcription initiation from RNA polymerase II promoter	3.259e-03	3.000e+00	4.729e+00	1.868e-05
