Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0006952	GO:0050829	defense response to Gram-negative bacterium	2.796e-03	3.000e+00	4.601e+00	2.507e-05
GO:0006952	GO:0042742	defense response to bacterium	2.914e-03	3.000e+00	3.514e+00	3.063e-04
GO:0006952	GO:0009617	response to bacterium	2.358e-03	1.100e+01	3.468e+00	3.407e-04
GO:0006955	GO:0006955	immune response	6.700e-04	1.200e+01	3.058e+00	8.750e-04
GO:0006955	GO:0045087	innate immune response	2.831e-03	7.000e+00	3.645e+00	2.264e-04
GO:0006955	GO:0019882	antigen processing and presentation	2.807e-03	3.000e+00	3.467e+00	3.410e-04
GO:0006956	GO:0001867	complement activation, lectin pathway	2.433e-03	4.000e+00	5.322e+00	4.764e-06
GO:0006956	GO:0006956	complement activation	1.014e-03	9.000e+00	4.234e+00	5.840e-05
GO:0006956	GO:0006959	humoral immune response	3.170e-03	4.000e+00	4.054e+00	8.837e-05
GO:0006956	GO:0050778	positive regulation of immune response	1.272e-03	9.000e+00	3.736e+00	1.835e-04
GO:0006956	GO:0002253	activation of immune response	3.644e-03	3.000e+00	3.939e+00	1.152e-04
GO:0006956	GO:0002684	positive regulation of immune system process	3.264e-03	3.000e+00	3.274e+00	5.326e-04
GO:0006956	GO:0070374	positive regulation of ERK1 and ERK2 cascade	3.368e-03	8.000e+00	4.432e+00	3.697e-05
GO:0006956	GO:0043408	regulation of MAPK cascade	2.481e-03	5.000e+00	3.582e+00	2.618e-04
GO:0006956	GO:0000185	activation of MAPKKK activity	7.337e-03	3.000e+00	4.889e+00	1.290e-05
GO:0006956	GO:0008592	regulation of Toll signaling pathway	5.617e-03	4.000e+00	5.048e+00	8.945e-06
GO:0007218	GO:0007186	G protein-coupled receptor signaling pathway	2.369e-03	5.000e+00	2.552e+00	2.807e-03
GO:0007218	GO:0007218	neuropeptide signaling pathway	4.003e-04	3.000e+00	3.924e+00	1.190e-04
GO:0007276	GO:0007276	gamete generation	2.112e-08	3.000e+00	3.853e+00	1.403e-04
GO:0007276	GO:0048609	multicellular organismal reproductive process	2.482e-03	3.000e+00	3.758e+00	1.746e-04
GO:0007276	GO:0007283	spermatogenesis	7.901e-04	3.000e+00	3.984e+00	1.038e-04
GO:0007276	GO:0003006	developmental process involved in reproduction	2.237e-03	4.000e+00	3.320e+00	4.789e-04
GO:0007492	GO:0007492	endoderm development	2.944e-03	3.000e+00	5.118e+00	7.621e-06
GO:0007492	GO:0060537	muscle tissue development	1.835e-03	3.000e+00	4.457e+00	3.494e-05
GO:0009072	GO:0009072	aromatic amino acid family metabolic process	4.066e-03	4.000e+00	2.085e+00	8.218e-03
GO:0009072	GO:0043436	oxoacid metabolic process	8.198e-05	3.000e+00	1.046e+00	9.005e-02
GO:0009072	GO:0006082	organic acid metabolic process	1.243e-03	8.000e+00	1.015e+00	9.658e-02
GO:0009409	GO:0009409	response to cold	5.850e-03	5.000e+00	4.119e+00	7.595e-05
GO:0009409	GO:0050896	response to stimulus	4.664e-03	3.000e+00	1.401e+00	3.974e-02
GO:0009410	GO:0009410	response to xenobiotic stimulus	2.839e-03	8.000e+00	4.712e+00	1.939e-05
GO:0009410	GO:0042221	response to chemical	2.351e-03	3.000e+00	2.478e+00	3.327e-03
GO:0009607	GO:0009607	response to biotic stimulus	7.608e-05	5.000e+00	2.209e+00	6.186e-03
GO:0009607	GO:0043207	response to external biotic stimulus	1.680e-04	8.000e+00	2.228e+00	5.918e-03
GO:0009607	GO:0009605	response to external stimulus	1.935e-03	5.000e+00	2.041e+00	9.108e-03
GO:0009607	GO:0071216	cellular response to biotic stimulus	4.954e-03	3.000e+00	4.396e+00	4.014e-05
GO:0009889	GO:0006357	regulation of transcription by RNA polymerase II	2.612e-03	4.000e+00	2.570e+00	2.693e-03
GO:0009889	GO:0009889	regulation of biosynthetic process	4.126e-04	3.000e+00	1.371e+00	4.253e-02
GO:0009889	GO:0080090	regulation of primary metabolic process	3.167e-03	3.000e+00	1.333e+00	4.642e-02
GO:0009889	GO:0065007	biological regulation	2.190e-03	4.000e+00	9.670e-01	1.079e-01
GO:0009988	GO:0007339	binding of sperm to zona pellucida	7.683e-04	8.000e+00	4.671e+00	2.133e-05
GO:0009988	GO:0009988	cell-cell recognition	3.479e-04	8.000e+00	4.608e+00	2.464e-05
GO:0010522	GO:0010522	regulation of calcium ion transport into cytosol	1.053e-03	4.000e+00	4.620e+00	2.401e-05
GO:0010522	GO:0010880	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	2.855e-03	5.000e+00	5.272e+00	5.340e-06
GO:0010522	GO:0034765	regulation of ion transmembrane transport	6.046e-03	4.000e+00	3.345e+00	4.519e-04
GO:0010906	GO:0006109	regulation of carbohydrate metabolic process	2.956e-03	3.000e+00	3.598e+00	2.524e-04
GO:0010906	GO:0010906	regulation of glucose metabolic process	2.390e-03	3.000e+00	4.377e+00	4.201e-05
GO:0010951	GO:0010951	negative regulation of endopeptidase activity	7.556e-04	1.000e+01	3.270e+00	5.366e-04
GO:0010951	GO:0045861	negative regulation of proteolysis	6.824e-04	4.000e+00	3.127e+00	7.471e-04
GO:0010951	GO:0010466	negative regulation of peptidase activity	2.634e-03	7.000e+00	3.141e+00	7.224e-04
GO:0010951	GO:0032269	negative regulation of cellular protein metabolic process	1.742e-03	6.000e+00	2.742e+00	1.810e-03
GO:0010951	GO:0051346	negative regulation of hydrolase activity	1.247e-03	4.000e+00	3.023e+00	9.485e-04
GO:0010951	GO:0043086	negative regulation of catalytic activity	1.098e-03	7.000e+00	2.818e+00	1.522e-03
GO:0010951	GO:0044092	negative regulation of molecular function	4.313e-03	3.000e+00	2.449e+00	3.559e-03
GO:0010951	GO:0052547	regulation of peptidase activity	5.832e-03	3.000e+00	3.064e+00	8.629e-04
GO:0010951	GO:0030162	regulation of proteolysis	3.548e-03	6.000e+00	2.997e+00	1.008e-03
GO:0015718	GO:0015718	monocarboxylic acid transport	9.777e-04	6.000e+00	3.033e+00	9.263e-04
GO:0015718	GO:0046942	carboxylic acid transport	1.976e-03	5.000e+00	2.745e+00	1.798e-03
GO:0015718	GO:0015711	organic anion transport	5.206e-03	3.000e+00	2.618e+00	2.408e-03
GO:0015849	GO:0006869	lipid transport	5.357e-03	5.000e+00	2.843e+00	1.436e-03
GO:0015849	GO:0015849	organic acid transport	5.036e-04	4.000e+00	2.283e+00	5.212e-03
GO:0015849	GO:0034220	ion transmembrane transport	6.058e-03	4.000e+00	1.543e+00	2.864e-02
GO:0016584	GO:0016584	nucleosome positioning	4.784e-03	3.000e+00	5.106e+00	7.827e-06
GO:0016584	GO:0006267	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	5.543e-03	3.000e+00	5.130e+00	7.419e-06
GO:0016584	GO:0036388	pre-replicative complex assembly	5.543e-03	3.000e+00	5.130e+00	7.419e-06
GO:0019318	GO:0005975	carbohydrate metabolic process	2.304e-03	3.000e+00	1.397e+00	4.005e-02
GO:0019318	GO:0019318	hexose metabolic process	5.251e-04	5.000e+00	2.329e+00	4.683e-03
GO:0019318	GO:0044281	small molecule metabolic process	4.395e-03	5.000e+00	7.850e-01	1.640e-01
GO:0030193	GO:0007599	hemostasis	3.201e-03	7.000e+00	3.961e+00	1.094e-04
GO:0030193	GO:0030193	regulation of blood coagulation	1.448e-03	3.000e+00	4.558e+00	2.764e-05
GO:0030193	GO:0061041	regulation of wound healing	5.680e-03	3.000e+00	4.417e+00	3.827e-05
GO:0030193	GO:0051239	regulation of multicellular organismal process	2.960e-03	3.000e+00	2.903e+00	1.249e-03
GO:0030198	GO:0030198	extracellular matrix organization	6.151e-04	4.000e+00	4.062e+00	8.669e-05
GO:0030198	GO:0030199	collagen fibril organization	5.660e-03	4.000e+00	4.905e+00	1.245e-05
GO:0030240	GO:0030240	skeletal muscle thin filament assembly	2.640e-03	5.000e+00	5.686e+00	2.060e-06
GO:0030240	GO:0031033	myosin filament organization	1.811e-03	4.000e+00	5.678e+00	2.098e-06
GO:0030593	GO:0030593	neutrophil chemotaxis	2.238e-03	7.000e+00	4.824e+00	1.501e-05
GO:0030593	GO:0050900	leukocyte migration	2.170e-03	6.000e+00	4.202e+00	6.275e-05
GO:0030593	GO:0060326	cell chemotaxis	1.909e-03	8.000e+00	4.026e+00	9.426e-05
GO:0030593	GO:0048870	cell motility	4.439e-03	5.000e+00	2.570e+00	2.692e-03
GO:0031936	GO:0031936	negative regulation of chromatin silencing	3.972e-03	7.000e+00	5.104e+00	7.866e-06
GO:0031936	GO:0060968	regulation of gene silencing	6.417e-03	4.000e+00	4.321e+00	4.777e-05
GO:0033273	GO:0033273	response to vitamin	3.351e-03	6.000e+00	5.002e+00	9.956e-06
GO:0033273	GO:0070887	cellular response to chemical stimulus	3.483e-03	9.000e+00	3.172e+00	6.723e-04
GO:0042060	GO:0009611	response to wounding	2.683e-03	4.000e+00	4.227e+00	5.935e-05
GO:0042060	GO:0042060	wound healing	2.728e-03	4.000e+00	4.815e+00	1.530e-05
GO:0042127	GO:0042127	regulation of cell population proliferation	1.560e-03	3.000e+00	3.277e+00	5.283e-04
GO:0042127	GO:0042130	negative regulation of T cell proliferation	4.235e-03	3.000e+00	4.904e+00	1.246e-05
GO:0042738	GO:0017144	drug metabolic process	2.525e-03	8.000e+00	3.273e+00	5.338e-04
GO:0042738	GO:0042738	exogenous drug catabolic process	2.525e-03	8.000e+00	5.236e+00	5.806e-06
GO:0044282	GO:0009063	cellular amino acid catabolic process	3.145e-03	4.000e+00	2.334e+00	4.630e-03
GO:0044282	GO:0044282	small molecule catabolic process	5.171e-04	4.000e+00	2.048e+00	8.963e-03
GO:0044282	GO:1901606	alpha-amino acid catabolic process	2.489e-03	5.000e+00	2.451e+00	3.536e-03
GO:0044419	GO:0044419	biological process involved in interspecies interaction between organisms	2.581e-04	8.000e+00	1.403e+00	3.951e-02
GO:0044419	GO:0009615	response to virus	2.819e-03	5.000e+00	3.184e+00	6.549e-04
GO:0044419	GO:0051707	response to other organism	2.491e-03	6.000e+00	2.233e+00	5.850e-03
GO:0044703	GO:0019953	sexual reproduction	3.943e-03	4.000e+00	4.821e+00	1.511e-05
GO:0044703	GO:0044703	multi-organism reproductive process	9.663e-09	3.000e+00	4.590e+00	2.571e-05
GO:0044703	GO:0022412	cellular process involved in reproduction in multicellular organism	2.919e-04	3.000e+00	3.704e+00	1.976e-04
GO:0044703	GO:0007130	synaptonemal complex assembly	3.022e-03	5.000e+00	4.962e+00	1.091e-05
GO:0044703	GO:0007338	single fertilization	1.349e-03	8.000e+00	4.643e+00	2.275e-05
GO:0044703	GO:0048477	oogenesis	7.900e-04	3.000e+00	4.694e+00	2.021e-05
GO:0044703	GO:0007281	germ cell development	1.521e-03	6.000e+00	4.202e+00	6.284e-05
GO:0044703	GO:0007292	female gamete generation	3.584e-03	5.000e+00	4.602e+00	2.498e-05
GO:0044703	GO:0007548	sex differentiation	3.879e-03	3.000e+00	4.881e+00	1.315e-05
GO:0044703	GO:0035803	egg coat formation	7.683e-04	8.000e+00	4.847e+00	1.421e-05
GO:0044703	GO:0051704	multi-organism process	3.943e-03	4.000e+00	2.028e+00	9.374e-03
GO:0046165	GO:0046165	alcohol biosynthetic process	9.777e-04	8.000e+00	3.341e+00	4.557e-04
GO:0046165	GO:0006695	cholesterol biosynthetic process	2.472e-03	9.000e+00	4.464e+00	3.432e-05
GO:0046165	GO:0008203	cholesterol metabolic process	1.927e-03	5.000e+00	4.001e+00	9.983e-05
GO:0046165	GO:1901615	organic hydroxy compound metabolic process	3.805e-03	3.000e+00	2.340e+00	4.572e-03
GO:0046165	GO:1902652	secondary alcohol metabolic process	3.446e-03	4.000e+00	3.452e+00	3.531e-04
GO:0046394	GO:0019752	carboxylic acid metabolic process	4.065e-03	4.000e+00	1.049e+00	8.923e-02
GO:0046394	GO:0046394	carboxylic acid biosynthetic process	1.728e-03	3.000e+00	1.306e+00	4.947e-02
GO:0046394	GO:0044283	small molecule biosynthetic process	4.213e-03	5.000e+00	1.116e+00	7.660e-02
GO:0046394	GO:0006090	pyruvate metabolic process	2.426e-03	3.000e+00	2.136e+00	7.315e-03
GO:0046394	GO:0032787	monocarboxylic acid metabolic process	6.080e-03	4.000e+00	1.662e+00	2.175e-02
GO:0048247	GO:0048247	lymphocyte chemotaxis	2.063e-03	1.000e+01	5.264e+00	5.451e-06
GO:0048247	GO:0002548	monocyte chemotaxis	1.743e-03	9.000e+00	5.393e+00	4.043e-06
GO:0048247	GO:0097530	granulocyte migration	2.905e-03	7.000e+00	4.656e+00	2.208e-05
GO:0050879	GO:0050879	multicellular organismal movement	6.965e-04	1.000e+01	5.397e+00	4.009e-06
GO:0050879	GO:0050817	coagulation	3.614e-03	6.000e+00	4.107e+00	7.814e-05
GO:0050879	GO:0032922	circadian regulation of gene expression	3.351e-03	1.000e+01	4.601e+00	2.509e-05
GO:0050879	GO:0003008	system process	2.452e-03	4.000e+00	2.957e+00	1.103e-03
GO:0050879	GO:0032501	multicellular organismal process	2.956e-03	9.000e+00	2.515e+00	3.058e-03
GO:0055002	GO:0048869	cellular developmental process	1.394e-03	3.000e+00	2.704e+00	1.975e-03
GO:0055002	GO:0055002	striated muscle cell development	1.463e-03	3.000e+00	4.593e+00	2.550e-05
GO:0055002	GO:0010927	cellular component assembly involved in morphogenesis	3.762e-03	5.000e+00	4.477e+00	3.333e-05
GO:0055002	GO:0014902	myotube differentiation	4.407e-03	3.000e+00	5.459e+00	3.475e-06
GO:0055002	GO:0030855	epithelial cell differentiation	4.410e-03	3.000e+00	4.101e+00	7.920e-05
GO:0055002	GO:0048513	animal organ development	5.257e-03	3.000e+00	3.177e+00	6.654e-04
GO:0055002	GO:0007519	skeletal muscle tissue development	1.262e-03	3.000e+00	4.759e+00	1.742e-05
GO:0055002	GO:0014706	striated muscle tissue development	5.762e-03	4.000e+00	4.529e+00	2.958e-05
GO:0055065	GO:0050801	ion homeostasis	4.858e-04	3.000e+00	2.822e+00	1.506e-03
GO:0055065	GO:0055065	metal ion homeostasis	6.969e-04	3.000e+00	2.934e+00	1.164e-03
GO:0055065	GO:0042446	hormone biosynthetic process	3.652e-03	4.000e+00	3.532e+00	2.936e-04
GO:0055065	GO:0010817	regulation of hormone levels	5.491e-03	3.000e+00	3.304e+00	4.968e-04
GO:0055065	GO:0042632	cholesterol homeostasis	9.774e-04	4.000e+00	4.589e+00	2.579e-05
GO:0055065	GO:0055082	cellular chemical homeostasis	2.212e-03	3.000e+00	2.971e+00	1.070e-03
GO:0060538	GO:0007517	muscle organ development	3.109e-03	3.000e+00	4.367e+00	4.297e-05
GO:0060538	GO:0060538	skeletal muscle organ development	1.597e-03	3.000e+00	5.573e+00	2.670e-06
GO:0070098	GO:0070098	chemokine-mediated signaling pathway	1.346e-03	1.000e+01	4.295e+00	5.069e-05
GO:0070098	GO:0007259	receptor signaling pathway via JAK-STAT	8.367e-04	3.000e+00	5.051e+00	8.888e-06
GO:0070098	GO:0019221	cytokine-mediated signaling pathway	2.091e-03	3.000e+00	3.696e+00	2.012e-04
GO:0071391	GO:0071391	cellular response to estrogen stimulus	3.610e-04	8.000e+00	5.091e+00	8.106e-06
GO:0071391	GO:0032869	cellular response to insulin stimulus	5.233e-03	3.000e+00	4.725e+00	1.886e-05
GO:0071391	GO:0043434	response to peptide hormone	3.285e-03	5.000e+00	4.346e+00	4.511e-05
GO:0071391	GO:0032870	cellular response to hormone stimulus	3.224e-03	3.000e+00	4.193e+00	6.416e-05
GO:0097553	GO:0007204	positive regulation of cytosolic calcium ion concentration	2.627e-03	7.000e+00	4.171e+00	6.748e-05
GO:0097553	GO:0097553	calcium ion transmembrane import into cytosol	1.263e-03	4.000e+00	4.476e+00	3.346e-05
GO:0097553	GO:0060401	cytosolic calcium ion transport	4.698e-03	5.000e+00	4.368e+00	4.286e-05
GO:0097553	GO:0070296	sarcoplasmic reticulum calcium ion transport	2.855e-03	5.000e+00	5.657e+00	2.205e-06
GO:0097553	GO:0006874	cellular calcium ion homeostasis	1.594e-03	4.000e+00	3.729e+00	1.866e-04
GO:0097553	GO:0072507	divalent inorganic cation homeostasis	3.539e-03	4.000e+00	3.671e+00	2.132e-04
GO:0097553	GO:0098662	inorganic cation transmembrane transport	3.729e-03	4.000e+00	1.788e+00	1.629e-02
GO:0097553	GO:0006812	cation transport	2.617e-03	7.000e+00	1.530e+00	2.950e-02
GO:0097553	GO:0098660	inorganic ion transmembrane transport	3.087e-03	3.000e+00	1.744e+00	1.802e-02
GO:0097553	GO:0055085	transmembrane transport	1.719e-03	6.000e+00	1.220e+00	6.028e-02
GO:0097553	GO:1903514	release of sequestered calcium ion into cytosol by endoplasmic reticulum	2.855e-03	5.000e+00	5.731e+00	1.858e-06
GO:0097553	GO:0051283	negative regulation of sequestering of calcium ion	2.471e-03	5.000e+00	4.591e+00	2.565e-05
GO:1901700	GO:1901700	response to oxygen-containing compound	4.971e-03	8.000e+00	3.278e+00	5.272e-04
GO:1901700	GO:0071310	cellular response to organic substance	2.701e-03	6.000e+00	3.417e+00	3.826e-04
GO:1901700	GO:0033993	response to lipid	5.445e-03	7.000e+00	3.805e+00	1.565e-04
GO:1901700	GO:0009725	response to hormone	1.905e-03	1.000e+01	3.598e+00	2.523e-04
GO:1901700	GO:0071495	cellular response to endogenous stimulus	3.144e-03	4.000e+00	3.768e+00	1.707e-04
GO:1990868	GO:1990868	response to chemokine	1.149e-03	9.000e+00	5.429e+00	3.727e-06
GO:1990868	GO:0071347	cellular response to interleukin-1	2.113e-03	9.000e+00	5.024e+00	9.472e-06
GO:1990868	GO:0071346	cellular response to interferon-gamma	1.303e-03	9.000e+00	4.883e+00	1.311e-05
GO:1990868	GO:0071356	cellular response to tumor necrosis factor	1.106e-03	5.000e+00	4.772e+00	1.691e-05
GO:1990868	GO:0034097	response to cytokine	1.926e-03	4.000e+00	3.930e+00	1.174e-04
GO:2000344	GO:2000241	regulation of reproductive process	5.763e-04	5.000e+00	3.878e+00	1.325e-04
GO:2000344	GO:2000344	positive regulation of acrosome reaction	1.055e-03	7.000e+00	5.097e+00	8.007e-06
