dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
18	-0.5742099363956048	1.1888162994899893	0.7990937287516867	10.0	1.3862943611198906	0.000163438047666439	vesicle-mediated transport	18. vesicle-mediated transport	['GO:0016192', 'GO:0048193', 'GO:0006888']	GO:0016192	10.0
19	1.881241309755307	0.27777028996811026	0.6269937185196998	9.0	1.791759469228055	0.00289842108251267	tRNA processing	19. tRNA processing	['GO:0008033', 'GO:0006399', 'GO:0034660', 'GO:0043039', 'GO:0043038']	GO:0008033	9.0
20	1.3954442432689202	0.5436945829030881	0.5757730026422267	9.0	1.9459101490553132	0.000545081843000256	DNA repair	20. DNA repair	['GO:0000725', 'GO:0006281', 'GO:0006259', 'GO:0006974', 'GO:0006302', 'GO:0033554']	GO:0006281	9.0
21	0.40027283024818594	-1.8151608736920593	1.003004479809265	9.0	1.3862943611198906	0.00134301574763978	ribonucleoprotein complex assembly	21. ribonucleoprotein complex assembly	['GO:0000245', 'GO:0022618', 'GO:0071826']	GO:0022618	9.0
22	1.7536764117997143	0.24298189027224115	0.7699635610001475	9.0	1.0986122886681098	0.000883507024446871	rRNA processing	22. rRNA processing	['GO:0006364', 'GO:0016072']	GO:0006364	9.0
23	1.4961947070538535	1.1015820931128186	0.6888047282553009	9.0	1.3862943611198906	0.000724337817470292	peptidyl-amino acid modification	23. peptidyl-amino acid modification	['GO:0018193', 'GO:0006464', 'GO:0036211']	GO:0018193	9.0
24	-0.9089773382750945	0.242447036830814	1.2900345603859167	7.0	1.0986122886681098	0.00240956294435306	visual perception	24. visual perception	['GO:0007601', 'GO:0050953']	GO:0007601	7.0
25	0.1335230743686727	-2.020757407501061	0.958619966306711	7.0	1.0986122886681098	0.00167275226290284	cell projection organization	25. cell projection organization	['GO:0030030', 'GO:0030031']	GO:0030030	7.0
26	0.43016792159644635	-1.4291017010053542	1.258671515594728	7.0	1.0986122886681098	0.00159900844841684	chromatin remodeling	26. chromatin remodeling	['GO:0006338', 'GO:0043044']	GO:0006338	7.0
27	0.42278202761529665	-1.9213264472932134	0.843638125166551	6.0	1.6094379124341003	0.00141659849309557	cellular protein-containing complex...	27. cellular protein-containing complex...	['GO:0034622', 'GO:0065003', 'GO:0022607', 'GO:0043933']	GO:0034622	6.0
28	-0.9333460200624928	-0.8915712783598909	1.4299296854247356	6.0	1.3862943611198906	0.0021129968623681	neuron development	28. neuron development	['GO:0048666', 'GO:0007275', 'GO:0032502']	GO:0048666	6.0
29	1.0330136729942632	0.600718991928366	0.730241024356546	5.0	1.0986122886681098	0.00167461551632432	DNA replication	29. DNA replication	['GO:0006260', 'GO:0006261']	GO:0006260	5.0
30	-2.176311049645468	0.17180861194855182	0.9320783799330871	5.0	1.791759469228055	0.00268108725110729	positive regulation of cellular met...	30. positive regulation of cellular met...	['GO:0010604', 'GO:0031325', 'GO:0009893', 'GO:0051173', 'GO:0048522']	GO:0031325	5.0
31	-1.683837202253426	0.14461724083236882	1.4410355286997558	5.0	1.3862943611198906	0.00482140252008704	regulation of mRNA splicing, via sp...	31. regulation of mRNA splicing, via sp...	['GO:0043484', 'GO:0048024', 'GO:0050684']	GO:0048024	5.0
32	1.6355459173973748	0.511215393684491	0.8596051479787771	5.0	1.6094379124341003	0.00281227299483754	transcription, DNA-templated	32. transcription, DNA-templated	['GO:0006351', 'GO:0097659', 'GO:0006368', 'GO:0006354']	GO:0006351	5.0
33	-2.4879073129574314	-0.036431710723679955	0.3378736618735316	4.0	1.6094379124341003	0.00117470250806338	regulation of cellular macromolecul...	33. regulation of cellular macromolecul...	['GO:2000112', 'GO:0010556', 'GO:0031326', 'GO:0009889']	GO:2000112	4.0
34	-0.6039045544166236	1.0258506315289972	1.2305721566367644	4.0	1.3862943611198906	0.00406236926984023	exocytosis	34. exocytosis	['GO:0006887', 'GO:0032940', 'GO:0140352']	GO:0006887	4.0
35	-1.4134326316899446	0.24839574238167905	1.5052834029732798	4.0	1.0986122886681098	0.0043793547115847	tissue homeostasis	35. tissue homeostasis	['GO:0001894', 'GO:0060249']	GO:0001894	4.0
36	1.162379052380792	0.8633825829192161	0.7565408607287796	4.0	1.6094379124341003	0.00287940665310024	macromolecule methylation	36. macromolecule methylation	['GO:0032259', 'GO:0043414', 'GO:0006479', 'GO:0008213']	GO:0043414	4.0
37	1.2681719355846512	1.180297973065353	0.44124399006096476	4.0	1.0986122886681098	0.00526167259978764	proteolysis	37. proteolysis	['GO:0006508', 'GO:0019538']	GO:0006508	4.0
38	-0.5049689427850732	1.574719788695469	1.2683802313504593	4.0	1.3862943611198906	0.00480051652698227	nuclear export	38. nuclear export	['GO:0051168', 'GO:0006913', 'GO:0051169']	GO:0051168	4.0
39	0.9809638809477657	1.2296064138743776	1.188704241750524	4.0	1.3862943611198906	0.00858393454199971	GPI anchor biosynthetic process	39. GPI anchor biosynthetic process	['GO:0006505', 'GO:0006506', 'GO:0046474']	GO:0006506	4.0
40	-0.6057820430009454	1.841206699354887	1.2720535126616355	4.0	1.0986122886681098	0.00815537093587731	protein insertion into membrane	40. protein insertion into membrane	['GO:0051205', 'GO:0090150']	GO:0051205	4.0
41	0.09090041316926181	-1.3777509378766655	1.4786606292282796	4.0	1.6094379124341003	0.00329004410875065	vesicle fusion	41. vesicle fusion	['GO:0006906', 'GO:0090174', 'GO:0016050', 'GO:0048284']	GO:0006906	4.0
42	-2.4791491062536264	-0.0053718685382697475	0.30024849747044335	4.0	1.0986122886681098	0.000504808948230364	regulation of gene expression	42. regulation of gene expression	['GO:0010468', 'GO:0060255']	GO:0010468	4.0
43	-2.508169315465466	-0.020178299219941177	0.3598959395055617	4.0	1.0986122886681098	0.0022898789516612	regulation of transcription, DNA-te...	43. regulation of transcription, DNA-te...	['GO:0006355', 'GO:1903506']	GO:0006355	4.0
44	1.8648534819639062	0.669402081968375	0.6530935459936252	4.0	1.3862943611198906	0.000935936299491135	RNA modification	44. RNA modification	['GO:0006400', 'GO:0009451', 'GO:0043412']	GO:0009451	4.0
45	0.21103352178675938	-1.6190414184098045	1.2305208741060119	4.0	1.0986122886681098	0.00207257875565422	mitochondrion organization	45. mitochondrion organization	['GO:0007005', 'GO:0007007']	GO:0007005	4.0
46	1.3494732774296994	0.33916957896285554	0.48948470099063474	4.0	2.1972245773362196	0.00431598463958747	nucleic acid phosphodiester bond hy...	46. nucleic acid phosphodiester bond hy...	['GO:0090305', 'GO:0090304', 'GO:0006725', 'GO:0006139', 'GO:0034641', 'GO:0044238', 'GO:0046483', 'GO:1901360']	GO:0090305	4.0
47	1.1770188966904158	0.3367015581659703	-0.08448916298301033	4.0	2.6390573296152584	0.000188088984747847	cellular nitrogen compound biosynth...	47. cellular nitrogen compound biosynth...	['GO:0034654', 'GO:0044271', 'GO:0018130', 'GO:0019438', 'GO:0044249', 'GO:0044237', 'GO:0008152', 'GO:0009987', 'GO:1901576', 'GO:0009058', 'GO:1901566', 'GO:1901564', 'GO:0006807']	GO:0044271	4.0
48	-2.145537680816572	0.18664114234776258	1.0507742522320944	3.0	2.1972245773362196	0.000610566254292467	positive regulation of transcriptio...	48. positive regulation of transcriptio...	['GO:0045893', 'GO:1903508', 'GO:1902680', 'GO:0031328', 'GO:0009891', 'GO:0010557', 'GO:0051254', 'GO:0045935']	GO:0045893	3.0
49	-0.5601233806442913	1.4999019484308056	1.3043937661279128	3.0	1.791759469228055	0.00258783445027	establishment of organelle localiza...	49. establishment of organelle localiza...	['GO:0051640', 'GO:0051656', 'GO:0048278', 'GO:0140056', 'GO:0022406']	GO:0051656	3.0
50	-1.5156950451479676	0.44624145112876523	1.520228696311863	3.0	1.3862943611198906	0.00340281521455965	multicellular organismal homeostasi...	50. multicellular organismal homeostasi...	['GO:0048871', 'GO:0007600', 'GO:0050877']	GO:0048871	3.0
51	0.0261377940494028	-2.0394848826411787	1.3237588896618213	3.0	1.3862943611198906	0.00304913533882888	cilium assembly	51. cilium assembly	['GO:0044782', 'GO:0060271', 'GO:0120031']	GO:0060271	3.0
52	-1.3111873648956085	-1.1919409965212577	1.471591200450076	3.0	1.0986122886681098	0.000223389830555106	cell morphogenesis involved in diff...	52. cell morphogenesis involved in diff...	['GO:0000904', 'GO:0048667']	GO:0000904	3.0
53	-0.1594789993482946	-1.5837996906148175	1.6013890557349448	3.0	1.3862943611198906	0.000832860360307655	axon development	53. axon development	['GO:0061564', 'GO:0031175', 'GO:0120036']	GO:0061564	3.0
54	-2.4730658315491167	-0.0194056986152843	0.28762529078886384	3.0	2.1972245773362196	0.000915711019068395	regulation of primary metabolic pro...	54. regulation of primary metabolic pro...	['GO:0080090', 'GO:2001141', 'GO:0051252', 'GO:0019219', 'GO:0031323', 'GO:0019222', 'GO:0031329', 'GO:0051171']	GO:0080090	3.0
55	-0.019404595885295438	-1.1495198916093268	1.746050347765917	3.0	1.3862943611198906	0.00172062780019091	mitotic nuclear division	55. mitotic nuclear division	['GO:0140014', 'GO:1903047', 'GO:0022402']	GO:0140014	3.0
56	-1.782077291844041	-0.14587730784855257	0.3925455609625502	3.0	1.0986122886681098	0.00281186909672331	signal transduction	56. signal transduction	['GO:0007165', 'GO:0050794']	GO:0007165	3.0
57	-1.5042177303916773	0.011533591857192174	1.2957728399070993	3.0	1.3862943611198906	0.00466417111228422	regulation of chromosome organizati...	57. regulation of chromosome organizati...	['GO:0033044', 'GO:0051493', 'GO:0033043']	GO:0033044	3.0
58	-1.225642549839198	-1.0230153012219545	1.310286921862061	3.0	1.0986122886681098	0.00281271721252018	nervous system development	58. nervous system development	['GO:0007399', 'GO:0048731']	GO:0007399	3.0
59	0.1224024902732546	-1.6292027662113358	1.2422122797133857	3.0	1.9459101490553132	0.000334740414694497	actin cytoskeleton organization	59. actin cytoskeleton organization	['GO:0030029', 'GO:0030036', 'GO:0007051', 'GO:0007018', 'GO:0007017', 'GO:0099111']	GO:0030036	3.0
60	1.6936550913731594	0.01078915230247019	1.0089988823643183	3.0	1.791759469228055	0.000409896747288103	RNA catabolic process	60. RNA catabolic process	['GO:0006401', 'GO:0006402', 'GO:0044265', 'GO:0009057', 'GO:0044248']	GO:0006401	3.0
61	0.17611578931183014	0.5312852563486172	0.9634435254323893	3.0	1.0986122886681098	0.00410626776052459	glycolipid metabolic process	61. glycolipid metabolic process	['GO:0006664', 'GO:1903509']	GO:0006664	3.0
62	1.0498138669094697	0.9486571428840249	1.0197857237528583	3.0	1.6094379124341003	0.00152325607811935	protein ubiquitination	62. protein ubiquitination	['GO:0016567', 'GO:0032446', 'GO:0070647', 'GO:0070646']	GO:0016567	3.0
63	-0.066423662739033	0.04684795039648423	1.4730865595617886	3.0	1.3862943611198906	0.00358525712916835	macroautophagy	63. macroautophagy	['GO:0016236', 'GO:0006914', 'GO:0061919']	GO:0016236	3.0
64	-1.3664945201669547	-1.285039245044949	1.1861027112283005	3.0	1.0986122886681098	0.00111675419787379	cell morphogenesis	64. cell morphogenesis	['GO:0000902', 'GO:0009653']	GO:0000902	3.0
65	0.5695991768753742	0.405752076107481	1.445355951148929	3.0	1.0986122886681098	0.00394952286111307	glycoprotein biosynthetic process	65. glycoprotein biosynthetic process	['GO:0009100', 'GO:0009101']	GO:0009101	3.0
66	0.8651704262294251	0.24487386853458712	1.3474111457107907	3.0	1.3862943611198906	0.00425489195473547	transcription initiation from RNA p...	66. transcription initiation from RNA p...	['GO:0006367', 'GO:0006352', 'GO:0032774']	GO:0006367	3.0
67	-0.44258901536581513	-0.014886349342810428	1.33407868682029	3.0	1.0986122886681098	0.00204722970376811	axon guidance	67. axon guidance	['GO:0007411', 'GO:0097485']	GO:0007411	3.0
68	0.7706697649507898	-2.095022015772132	1.4639823665780027	3.0	1.6094379124341003	0.000882597897293615	axonogenesis	68. axonogenesis	['GO:0007409', 'GO:0048812', 'GO:0120039', 'GO:0048858']	GO:0007409	3.0
69	-0.8808288202959932	-0.8244728478066939	1.3994923808421473	3.0	1.6094379124341003	0.000284533110408581	neuron differentiation	69. neuron differentiation	['GO:0030182', 'GO:0032990', 'GO:0048699', 'GO:0022008']	GO:0030182	3.0
